timestamp,age_range,env_growth,worldview,activity_primary,regular_practices,household_size,gender_assigned,gender_identity,edu_level,income_bracket,socioec_status,college_name,awe_scale_1,awe_scale_2,awe_scale_3,awe_scale_4,awe_scale_5,awe_scale_6,awe_scale_7,awe_scale_8,awe_scale_9,awe_scale_10,awe_scale_11,awe_scale_12,control,trigger_moved_1,trigger_moved_2,trigger_moved_3,trigger_moved_4,trigger_moved_5,trigger_moved_6,trigger_moved_7,trigger_moved_8,trigger_moved_9,trigger_moved_10,trigger_phys_1,trigger_phys_2,trigger_phys_3,trigger_phys_4,trigger_phys_5,trigger_phys_6,trigger_phys_7,trigger_phys_8,trigger_phys_9,trigger_interpersonal_1,trigger_interpersonal_2,trigger_interpersonal_3,trigger_interpersonal_4,trigger_interpersonal_5,trigger_spiritual_1,trigger_spiritual_2,trigger_spiritual_3,trigger_spiritual_4,trigger_interpersonal_6,trigger_interpersonal_7,trigger_interpersonal_8,trigger_interpersonal_9,trigger_spiritual_5,trigger_spiritual_6,trigger_spiritual_7,trigger_spiritual_8,trigger_phys_10,trigger_phys_11,trigger_phys_12,trigger_phys_13,chills_ability,chills_freq,is_uw_student,college_type
4/9/2026 11:42:15,19-21,Suburban,Atheist/Naturalist,Studying,Artistic Creation,3-5,Female,Female,Undergraduate,0-50K,Upper middle class,University of Washington,3,3,2,2,4,3,1,1,4,4,5,4,3,2,3,3,2,2,2,2,2,2,4,2,2,2,3,2,2,2,2,2,2,3,4,2,2,1,2,1,5,3,3,4,3,1,1,1,3,3,3,3,3,0,3,1,WA State Public
4/9/2026 11:42:37,19-21,Suburban,Atheist/Naturalist,Studying,,3-5,Male,Male,High school Diploma/GED,0-50K,Upper middle class,University of Washington,4,3,4,3,2,3,4,4,4,2,4,1,3,5,5,5,5,1,5,5,1,5,1,4,3,4,3,1,3,4,2,4,3,2,3,2,4,1,3,1,5,3,2,4,3,1,1,2,1,2,2,4,4,0,2,1,WA State Public
4/9/2026 11:44:34,19-21,Rural/Remote,Atheist/Naturalist,Studying,"Artistic Creation, Regular Immersion in Nature",<=2,Female,Female,High school Diploma/GED,0-50K,Upper middle class,University of Washington,5,4,5,3,3,3,5,5,4,2,3,2,3,4,4,3,,3,5,5,2,3,2,4,,4,,2,3,4,4,3,4,4,3,2,4,3,4,3,4,5,2,3,3,2,1,2,3,3,4,3,3,0,3,1,WA State Public
4/9/2026 11:46:07,19-21,Suburban,Spiritual but not Religious,Social Events,"Meditation/Mindfulness, Breath work, Yoga/Martial Arts, Artistic Creation, Regular Immersion in Nature",3-5,Female,Female,High school Diploma/GED,0-50K,Upper middle class,University of Washington,5,3,5,4,4,3,5,4,4,3,3,1,3,4,5,4,4,1,4,4,1,5,2,4,2,3,2,1,2,3,3,3,4,4,4,2,3,3,2,3,3,3,2,4,3,2,2,2,2,2,2,2,4,0,1,1,WA State Public
4/9/2026 11:46:22,19-21,Highly urban,Atheist/Naturalist,Student Clubs,"Yoga/Martial Arts, Artistic Creation, Regular Immersion in Nature",3-5,Female,Female,High school Diploma/GED,0-50K,Upper middle class,University of Washington,2,4,5,3,4,3,5,5,3,4,3,2,3,4,4,5,4,1,5,4,2,5,3,4,3,3,2,3,2,4,2,3,4,3,2,3,5,1,4,1,5,4,2,3,3,2,1,3,3,3,2,3,4,1,3,1,WA State Public
4/9/2026 11:46:43,19-21,Suburban,Spiritual but not Religious,Work,"Meditation/Mindfulness, Breath work, Yoga/Martial Arts",3-5,Female,Female,Undergraduate,0-50K,Middle class,University of Washington,5,5,5,5,3,4,5,5,5,3,4,3,3,4,4,4,5,1,4,5,1,5,1,5,3,3,4,3,3,3,4,3,4,4,3,4,4,3,4,2,4,4,2,3,3,4,5,5,5,4,5,5,5,1,5,1,WA State Public
4/9/2026 11:49:39,19-21,Rural/Remote,Agnostic/Secular,Studying,,3-5,Male,Male,High school Diploma/GED,0-50K,Middle class,University of Washington,3,5,4,3,4,1,1,2,2,2,4,3,3,4,5,2,4,2,2,4,2,5,2,2,4,5,2,1,1,3,3,2,4,4,4,4,2,4,1,1,3,4,2,4,3,1,3,3,3,2,2,1,4,0,1,1,WA State Public
4/9/2026 12:10:59,19-21,Suburban,Other,Studying,,3-5,Female,Female,High school Diploma/GED,0-50K,Upper middle class,University of Washington,4,4,5,4,4,3,5,3,1,3,1,2,3,3,4,3,5,1,4,3,1,3,2,2,3,4,2,4,3,3,5,3,4,3,2,3,3,4,3,4,2,5,3,4,2,3,2,4,1,4,3,3,3,0,1,1,WA State Public
4/9/2026 12:18:42,25-30,Suburban,Spiritual but not Religious,Studying,"Meditation/Mindfulness, Breath work, Artistic Creation",<=2,Female,Female,Graduate,0-50K,Poverty,University of Washington,5,3,4,4,4,5,5,5,5,3,4,4,3,5,5,5,5,1,5,5,5,5,1,5,3,5,5,1,3,5,5,4,5,3,2,5,5,5,5,3,3,3,1,4,5,3,3,4,4,4,3,4,5,0,1,1,WA State Public
4/9/2026 12:19:05,19-21,Suburban,Religious/Theistic,Extracurricular Activities,,3-5,Female,Female,High school Diploma/GED,100K+,Middle class,University of Washington,4,4,5,5,4,3,3,3,2,3,2,3,3,4,5,4,4,2,4,4,1,3,2,4,3,3,,2,2,4,3,2,3,4,4,4,4,2,4,3,3,3,2,4,3,2,3,2,3,2,2,3,4,0,2,1,WA State Public
4/9/2026 12:27:44,19-21,Suburban,Atheist/Naturalist,Studying,Yoga/Martial Arts,<=2,Male,Male,Associates Degree,0-50K,Upper middle class,University of Washington,4,4,4,4,4,2,2,1,5,5,5,4,3,2,1,2,1,4,2,1,4,1,5,2,5,1,5,4,3,4,1,1,1,1,5,1,5,1,1,1,5,4,1,2,1,1,1,1,1,1,1,1,2,0,2,1,WA State Public
4/9/2026 12:28:08,17-18,Suburban,Religious/Theistic,Studying,"Meditation/Mindfulness, Regular Immersion in Nature",6+,Female,Female,High school Diploma/GED,0-50K,Middle class,University of Washington,4,4,4,3,3,2,4,2,3,2,3,2,3,4,5,4,4,2,4,3,2,4,2,4,3,2,3,4,3,3,4,4,4,2,4,4,4,4,5,4,1,5,3,4,3,1,5,3,1,3,3,4,4,0,1,1,WA State Public
4/9/2026 12:28:51,25-30,Suburban,Atheist/Naturalist,Studying,,<=2,Male,Other,High school Diploma/GED,0-50K,Middle class,University of Washington,4,4,4,3,4,5,4,3,3,4,4,2,3,4,4,5,3,2,1,3,2,2,2,4,4,2,5,4,5,3,2,2,4,2,5,3,3,4,4,2,4,5,2,3,1,1,1,1,2,2,2,1,4,1,3,1,WA State Public
4/9/2026 12:29:44,25-30,Suburban,Atheist/Naturalist,Work,"Meditation/Mindfulness, Regular Immersion in Nature",3-5,Male,Male,Undergraduate,0-50K,Upper middle class,University of Washington,4,4,3,3,4,5,3,2,4,2,4,2,3,4,2,5,4,1,3,4,2,4,2,4,3,3,3,5,5,2,3,3,4,2,3,4,4,1,3,1,5,4,1,3,3,1,1,1,2,3,2,2,4,1,3,1,WA State Public
4/9/2026 12:31:36,22-24,Suburban,Agnostic/Secular,Studying,"Meditation/Mindfulness, Artistic Creation",3-5,Female,Female,Associates Degree,70-90K,Low middle class,University of Washington,4,4,4,5,4,2,5,4,2,1,2,2,3,5,5,3,4,1,5,4,2,4,2,3,4,4,4,2,4,4,4,4,5,2,4,3,2,2,4,2,4,4,1,2,4,2,2,3,5,2,4,2,2,0,2,1,WA State Public
4/9/2026 13:05:00,19-21,Suburban,Religious/Theistic,Studying,"Meditation/Mindfulness, Regular Immersion in Nature",6+,,Female,High school Diploma/GED,0-50K,Upper middle class,University of Washington,4,4,4,3,4,2,4,3,3,3,4,2,3,4,3,3,5,1,4,5,1,5,1,4,5,4,4,4,2,4,4,4,4,4,4,4,5,5,5,5,1,5,4,3,5,1,5,5,3,4,5,5,5,1,3,1,WA State Public
4/9/2026 13:34:22,19-21,Suburban,Religious/Theistic,Studying,,3-5,Male,Male,High school Diploma/GED,100K+,Upper middle class,University of Washington,4,5,5,5,4,2,4,3,2,4,2,2,3,3,4,3,3,3,4,4,2,3,3,2,4,1,4,1,3,2,2,1,2,1,4,2,2,5,5,4,1,3,1,3,2,1,5,4,1,4,3,5,4,1,2,1,WA State Public
4/9/2026 18:55:51,31-37,Highly urban,Spiritual but not Religious,Studying,"Meditation/Mindfulness, Breath work",3-5,Female,Female,Undergraduate,0-50K,Middle class,University of Washington,2,3,4,3,4,2,3,1,2,2,2,4,3,4,5,2,2,4,4,4,3,2,4,4,4,4,4,3,2,3,4,4,4,2,5,1,1,4,4,2,4,4,1,3,2,1,2,1,4,2,2,2,4,0,1,1,WA State Public
4/9/2026 18:56:31,31-37,Rural/Remote,Spiritual but not Religious,Work,"Meditation/Mindfulness, Regular Immersion in Nature",3-5,Female,Female,Undergraduate,100K+,Poverty,University of Washington,1,5,5,5,1,3,5,3,5,1,5,2,3,4,5,5,5,1,5,4,1,4,1,5,4,5,5,1,3,5,3,4,5,4,2,5,5,5,5,3,1,5,1,3,4,5,4,5,5,5,5,5,5,0,2,1,WA State Public
4/9/2026 20:31:53,22-24,Suburban,Agnostic/Secular,Work,,3-5,Female,Female,Graduate,50-70K,Low middle class,University of Washington,3,4,4,4,3,3,2,2,5,3,5,2,3,4,5,1,5,2,4,4,1,5,5,5,3,2,5,1,2,2,4,2,4,5,4,1,2,2,3,1,4,4,3,3,3,2,2,2,5,1,1,4,3,0,3,1,WA State Public
4/9/2026 21:19:33,31-37,Suburban,Atheist/Naturalist,Work,,<=2,Male,Male,Undergraduate,100K+,Middle class,University of Washington,2,2,4,2,4,3,1,1,5,2,4,2,3,4,3,2,3,2,4,3,2,3,3,5,2,3,4,1,1,2,2,2,4,3,5,2,5,1,1,1,5,5,2,2,2,1,1,2,2,1,1,1,2,0,3,1,WA State Public
4/9/2026 21:21:19,25-30,Suburban,Agnostic/Secular,Work,"Breath work, Artistic Creation",3-5,Female,Female,Graduate,0-50K,Middle class,"Western Washington, Southern New Hampshire, and Western Governors University",4,3,4,3,3,3,5,5,3,3,2,1,3,5,3,4,3,2,3,5,1,3,1,5,3,4,5,1,3,4,5,4,4,2,4,2,3,2,3,1,5,4,2,4,3,1,1,1,1,3,3,4,4,1,2,0,Other/Multiple
