Column Letter,Original Question/Intent/category,New Name,Construct,Code
A,Timestamp,timestamp,Demographic,"'Timestamp': 'timestamp',"
B,Please select your age range,age_range,Demographic,"'Please select your age range': 'age_range',"
C,Which best describes the environment you spent the most time growing up in?,env_growth,Demographic,"'Which best describes the environment you spent the most time growing up in?': 'env_growth',"
D,How would you describe your worldview or spiritual orientation?,worldview,Demographic,"'How would you describe your worldview or spiritual orientation?': 'worldview',"
E,Which category best describes your primary daily activity? ,activity_primary,Demographic,"'Which category best describes your primary daily activity? ': 'activity_primary',"
F,Do you regularly engage in any of the following practices?,regular_practices,Demographic,"'Do you regularly engage in any of the following practices?': 'regular_practices',"
G,"Including yourself, how many people live in your household?",household_size,Demographic,"'Including yourself, how many people live in your household?': 'household_size',"
H,What is your assigned gender at birth? ,gender_assigned,Demographic,"'What is your assigned gender at birth? ': 'gender_assigned',"
I,What is your current gender identity? ,gender_identity,Demographic,"'What is your current gender identity? ': 'gender_identity',"
J,What is your highest completed degree?,edu_level,Demographic,"'What is your highest completed degree?': 'edu_level',"
K,What is your current income bracket?,income_bracket,Demographic,"'What is your current income bracket?': 'income_bracket',"
L,What describes your socioeconomic status growing up? ,socioec_status,Demographic,"'What describes your socioeconomic status growing up? ': 'socioec_status',"
M,What college do you attend?,college_name,Demographic,"'What college do you attend?': 'college_name',"
N,I regularly notice beauty around me.,awe_scale_1,Openness to Experience,"'I regularly notice beauty around me.': 'awe_scale_1',"
O,I stay open to someone’s opinion even when it differs from mine.,awe_scale_2,Openness to Experience,"'I stay open to someone’s opinion even when it differs from mine.': 'awe_scale_2',"
P,I have a lot of intellectual curiosity. ,awe_scale_3,Openness to Experience,"'I have a lot of intellectual curiosity. ': 'awe_scale_3',"
Q,"I am drawn to experiences, ideas, and sensations that are unfamiliar or challenge my current way of seeing the world.",awe_scale_4,Openness to Experience,"'I am drawn to experiences, ideas, and sensations that are unfamiliar or challenge my current way of seeing the world.': 'awe_scale_4',"
R,I prefer routine and spending time with people who think similarly to myself.,awe_scale_5,Openness to Experience,"'I prefer routine and spending time with people who think similarly to myself.': 'awe_scale_5',"
S,Do people ever describe you as lost in thought?,awe_scale_6,Absorption MODTAS,"'Do people ever describe you as lost in thought?': 'awe_scale_6',"
T,"I can become deeply absorbed in nature, music, art, beliefs, or ideas.",awe_scale_7,Absorption MODTAS,"'I can become deeply absorbed in nature, music, art, beliefs, or ideas.': 'awe_scale_7',"
U,I sometimes become so involved in a piece of music or art that I lose all sense of time and my surroundings.,awe_scale_8,Absorption MODTAS,"'I sometimes become so involved in a piece of music or art that I lose all sense of time and my surroundings.': 'awe_scale_8',"
V,I tend to have intense or vivid dreams.,awe_scale_9,Absorption MODTAS,"'I tend to have intense or vivid dreams.': 'awe_scale_9',"
W,My dreams tend to be more associated with nightmares or stress.,awe_scale_10,Absorption MODTAS,"'My dreams tend to be more associated with nightmares or stress.': 'awe_scale_10',"
X,I can remember my dreams when I wake up in the morning.,awe_scale_11,Absorption MODTAS,"'I can remember my dreams when I wake up in the morning.': 'awe_scale_11',"
Y,I do not become absorbed in stimuli or surroundings.,awe_scale_12,Absorption MODTAS,"'I do not become absorbed in stimuli or surroundings.': 'awe_scale_12',"
Z,"To confirm you are paying attention, please select number 3 for this question. ",control,Control,"'To confirm you are paying attention, please select number 3 for this question. ': 'control',"
AA,Have you ever been moved in a way that evokes strong emotional memories?,trigger_moved_1,Kama Muta (being Moved),"'Have you ever been moved in a way that evokes strong emotional memories?': 'trigger_moved_1',"
AB,"Have you ever been moved to tears, emotionally touched, stirred or experienced something that warmed your heart?",trigger_moved_2,Kama Muta (being Moved),"'Have you ever been moved to tears, emotionally touched, stirred or experienced something that warmed your heart?': 'trigger_moved_2',"
AC,Do you experience moments that make you feel deeply connected with nature?,trigger_moved_3,Kama Muta (being Moved),"'Do you experience moments that make you feel deeply connected with nature?': 'trigger_moved_3',"
AD,Do you experience moments that make you feel deeply connected with the people around you?,trigger_moved_4,Kama Muta (being Moved),"'Do you experience moments that make you feel deeply connected with the people around you?': 'trigger_moved_4',"
AE,I do not feel deep connections to the world or people around me.,trigger_moved_5,Kama Muta (being Moved),"'I do not feel deep connections to the world or people around me.': 'trigger_moved_5',"
AF,I enjoy volunteering or serving others in my community.,trigger_moved_6,Dispositional Positive emotions,"'I enjoy volunteering or serving others in my community.': 'trigger_moved_6',"
AG,"I am easily and often moved by the beauty, humor, and goodness I encounter in everyday life.",trigger_moved_7,Dispositional Positive emotions,"'I am easily and often moved by the beauty, humor, and goodness I encounter in everyday life.': 'trigger_moved_7',"
AH,"I do not often feel joy, contentment, amusement, compassion, and pride.",trigger_moved_8,Dispositional Positive emotions,"'I do not often feel joy, contentment, amusement, compassion, and pride.': 'trigger_moved_8',"
AI,I feel part of a much larger whole.,trigger_moved_9,Dispositional Positive emotions,"'I feel part of a much larger whole.': 'trigger_moved_9',"
AJ,I do not often experience powerful feelings connected to the greater world around me.,trigger_moved_10,Dispositional Positive emotions,"'I do not often experience powerful feelings connected to the greater world around me.': 'trigger_moved_10',"
AK,"I notice physical sensations in my body when I experience emotions (e.g., tension, breathing/heart rate changes, etc.)",trigger_phys_1,Interoceptive Awareness,"'I notice physical sensations in my body when I experience emotions (e.g., tension, breathing/heart rate changes, etc.)': 'trigger_phys_1',"
AL,"Even when I feel intense physical sensations, I feel that my body is in a safe and trustworthy place.",trigger_phys_2,Interoceptive Awareness,"'Even when I feel intense physical sensations, I feel that my body is in a safe and trustworthy place.': 'trigger_phys_2',"
AM,I listen to my body for information to help me understand how I am truly feeling about a situation.,trigger_phys_3,Interoceptive Awareness,"'I listen to my body for information to help me understand how I am truly feeling about a situation.': 'trigger_phys_3',"
AN,I notice how my breathing becomes free and easy when I feel comfortable.,trigger_phys_4,Interoceptive Awareness,"'I notice how my breathing becomes free and easy when I feel comfortable.': 'trigger_phys_4',"
AO,My emotions do not trigger physical responses.,trigger_phys_5,Interoceptive Awareness,"'My emotions do not trigger physical responses.': 'trigger_phys_5',"
AP,I take stock in my thoughts and emotions without getting overwhelmed by them.,trigger_phys_6,Mindfulness,"'I take stock in my thoughts and emotions without getting overwhelmed by them.': 'trigger_phys_6',"
AQ,I am aware of my body sensations and breathing in response to situations and things happening around me.,trigger_phys_7,Mindfulness,"'I am aware of my body sensations and breathing in response to situations and things happening around me.': 'trigger_phys_7',"
