Timestamp,Please select your age range,Which best describes the environment you spent the most time growing up in?,How would you describe your worldview or spiritual orientation?,Which category best describes your primary daily activity? ,Do you regularly engage in any of the following practices?,"Including yourself, how many people live in your household?",What is your assigned gender at birth? ,What is your current gender identity? ,What is your highest completed degree?,What is your current income bracket?,What describes your socioeconomic status growing up? ,What college do you attend?,I regularly notice beauty around me.,I stay open to someone’s opinion even when it differs from mine.,I have a lot of intellectual curiosity. ,"I am drawn to experiences, ideas, and sensations that are unfamiliar or challenge my current way of seeing the world.",I prefer routine and spending time with people who think similarly to myself.,Do people ever describe you as lost in thought?,"I can become deeply absorbed in nature, music, art, beliefs, or ideas.",I sometimes become so involved in a piece of music or art that I lose all sense of time and my surroundings.,I tend to have intense or vivid dreams.,My dreams tend to be more associated with nightmares or stress.,I can remember my dreams when I wake up in the morning.,I do not become absorbed in stimuli or surroundings.,"To confirm you are paying attention, please select number 3 for this question. ",Have you ever been moved in a way that evokes strong emotional memories?,"Have you ever been moved to tears, emotionally touched, stirred or experienced something that warmed your heart?",Do you experience moments that make you feel deeply connected with nature?,Do you experience moments that make you feel deeply connected with the people around you?,I do not feel deep connections to the world or people around me.,I enjoy volunteering or serving others in my community.,"I am easily and often moved by the beauty, humor, and goodness I encounter in everyday life.","I do not often feel joy, contentment, amusement, compassion, and pride.",I feel part of a much larger whole.,I do not often experience powerful feelings connected to the greater world around me.,"I notice physical sensations in my body when I experience emotions (e.g., tension, breathing/heart rate changes, etc.)","Even when I feel intense physical sensations, I feel that my body is in a safe and trustworthy place.",I listen to my body for information to help me understand how I am truly feeling about a situation.,I notice how my breathing becomes free and easy when I feel comfortable.,My emotions do not trigger physical responses.,I take stock in my thoughts and emotions without getting overwhelmed by them.,I am aware of my body sensations and breathing in response to situations and things happening around me.,"When stressed, I focus on calming or seek awe experiences for relief.",I listen to my body during stressful or triggering situations before responding.,I believe in trusting my hunches.,How frequently do you experience Deja Vu? ,I prefer concrete facts over abstract theories.,I have had the experience of suddenly knowing something to be true without being able to explain how I gained that information. ,I tend to notice coincidence or synchronicities often. ,"When I meditate, pray, or engage in spiritual or religious practices, I feel deeply connected to something or someone greater than myself.",I believe life has a deeper meaning or purpose.,I consider myself highly engaged with routine spiritual practices.,I do not consider myself religious or spiritual.,I see myself as resilient and able to handle challenges.,"When things go wrong, it’s usually someone else’s fault.",Challenges cause me to feel overwhelmed and stuck.,How strongly do you believe in meaningful coincidences?,"Do you believe in universal energy such as chakras, kundalini, etc?",How strongly do you believe in a God or divine being?,"Do you believe in souls, spirits, or unseen beings?",How strongly do you believe in karma or moral causation? ,"During powerful experiences, my awareness of myself fades into the background.","During powerful moments, I have the physical sensation that my body is shrinking or becoming very small in relation to the world around me.","During powerful moments, I feel that time is slowing down or speeding up.",Emotional or inspiring experiences give me chills or goosebumps.,"I can give myself chills or goosebumps with no external stimuli (such as music, cold temperature, or emotional videos).",How often are you able to produce chills without external stimuli?
4/9/2026 11:42:15,19-21,Suburban,Atheist/Naturalist,Studying,Artistic Creation,3-5,Female,Female,Undergraduate,0-50K,Upper middle class,University of Washington,3,3,2,2,4,3,1,1,4,4,5,4,3,2,3,3,2,2,2,2,2,2,4,2,2,2,3,2,2,2,2,2,2,3,4,2,2,1,2,1,5,3,3,4,Moderate belief,Not at all,Not at all,Not at all,Moderate belief,3,3,3,3,Not Sure,Sometimes
4/9/2026 11:42:37,19-21,Suburban,Atheist/Naturalist,Studying,None,3-5,Male,Male,High school Diploma,0-50K,Upper middle class,University of Washington,4,3,4,3,2,3,4,4,4,2,4,1,3,5,5,5,5,1,5,5,1,5,1,4,3,4,3,1,3,4,2,4,3,2,3,2,4,1,3,1,5,3,2,4,Moderate belief,Not at all,Not at all,Slight belief,Not at all,2,2,4,4,No,Rarely
4/9/2026 11:44:34,19-21,Rural/Remote,Atheist/Naturalist,Studying,"Artistic Creation, Regular Immersion in Nature",2,Female,Female,High school Diploma,0-50K,Upper middle class,University of Washington,5,4,5,3,3,3,5,5,4,2,3,2,3,4,4,3,,3,5,5,2,3,2,4,,4,,2,3,4,4,3,4,4,3,2,4,3,4,3,4,5,2,3,Moderate belief,Slight belief,Not at all,Slight belief,Moderate belief,3,4,3,3,Not Sure,Sometimes
4/9/2026 11:46:07,19-21,Suburban,Spiritual but not Religious,Social Events,"Meditation/Mindfulness, Breath work, Yoga/Martial Arts, Artistic Creation, Regular Immersion in Nature",3-5,Female,Female,High school Diploma,0-50K,Upper middle class,University of Washington,5,3,5,4,4,3,5,4,4,3,3,1,3,4,5,4,4,1,4,4,1,5,2,4,2,3,2,1,2,3,3,3,4,4,4,2,3,3,2,3,3,3,2,4,Moderate belief,Slight belief,Slight belief,Slight belief,Slight belief,2,2,2,4,No,Never
4/9/2026 11:46:22,19-21,Highly urban,Atheist/Naturalist,Student Clubs,"Yoga/Martial Arts, Artistic Creation, Regular Immersion in Nature",3-5,Female,Female,High school Diploma,0-50K,Upper middle class,University of Washington,2,4,5,3,4,3,5,5,3,4,3,2,3,4,4,5,4,1,5,4,2,5,3,4,3,3,2,3,2,4,2,3,4,3,2,3,5,1,4,1,5,4,2,3,Moderate belief,Slight belief,Not at all,Moderate belief,Moderate belief,3,2,3,4,Yes,Sometimes
4/9/2026 11:46:43,19-21,Suburban,Spiritual but not Religious,Work,"Meditation/Mindfulness, Breath work, Yoga/Martial Arts",3-5,Female,Female,Undergraduate,0-50K,Middle class,University of Washington,5,5,5,5,3,4,5,5,5,3,4,3,3,4,4,4,5,1,4,5,1,5,1,5,3,3,4,3,3,3,4,3,4,4,3,4,4,3,4,2,4,4,2,3,Moderate belief,Strong belief,Very strong belief,Very strong belief,Very strong belief,4,5,5,5,Yes,Very Often
4/9/2026 11:49:39,19-21,Rural/Remote,Agnostic/Secular,Studying,None,3-5,Male,Male,High school Diploma,0-50K,Middle class,University of Washington,3,5,4,3,4,1,1,2,2,2,4,3,3,4,5,2,4,2,2,4,2,5,2,2,4,5,2,1,1,3,3,2,4,4,4,4,2,4,1,1,3,4,2,4,Moderate belief,Not at all,Moderate belief,Moderate belief,Moderate belief,2,2,1,4,Not Sure,Never
4/9/2026 12:10:59,19-21,Suburban,Other,Studying,None,3-5,Female,Female,High school Diploma,0-50K,Upper middle class,University of Washington,4,4,5,4,4,3,5,3,1,3,1,2,3,3,4,3,5,1,4,3,1,3,2,2,3,4,2,4,3,3,5,3,4,3,2,3,3,4,3,4,2,5,3,4,Slight belief,Moderate belief,Slight belief,Strong belief,Not at all,4,3,3,3,No,Never
4/9/2026 12:18:42,25-30,Suburban,Spiritual but not Religious,Studying,"Meditation/Mindfulness, Breath work, Artistic Creation",1,Female,Female,Graduate,0-50K,Poverty,University of Washington,5,3,4,4,4,5,5,5,5,3,4,4,3,5,5,5,5,1,5,5,5,5,1,5,3,5,5,1,3,5,5,4,5,3,2,5,5,5,5,3,3,3,1,4,Very strong belief,Moderate belief,Moderate belief,Strong belief,Strong belief,4,3,4,5,No,Never
4/9/2026 12:19:05,19-21,Suburban,Religious/Theistic,Extracurricular Activities,,3-5,Female,Female,High school Diploma,100K+,Middle class,University of Washington,4,4,5,5,4,3,3,3,2,3,2,3,3,4,5,4,4,2,4,4,1,3,2,4,3,3,,2,2,4,3,2,3,4,4,4,4,2,4,3,3,3,2,4,Moderate belief,Slight belief,Moderate belief,Slight belief,Moderate belief,2,2,3,4,Not Sure,Rarely
